Entity,Code,Year,Renewables (% equivalent primary energy),Geo Biomass Other - TWh,Solar Generation - TWh,Wind Generation - TWh,Hydro Generation - TWh,Electricity from wind (TWh)_x,Electricity from hydro (TWh)_x,Electricity from solar (TWh)_x,Other renewables including bioenergy (TWh),Renewables (% electricity),Electricity from hydro (TWh)_y,Hydro (% equivalent primary energy),Hydro (% electricity),Electricity from wind (TWh)_y,Wind (% equivalent primary energy),Wind (% electricity),Electricity from solar (TWh)_y,Solar (% equivalent primary energy),Solar (% electricity),Biofuels Production - TWh - Total
Algeria,DZA,2000,0.053235482,0.0,0.0,0.0,54,0.0,0.05,0.0,0.0,0.20929259,0.05,0.053235482,0.20929259,0.0,0.0,0.0,0.0,0.0,0.0,
Algeria,DZA,2001,0.065218486,0.0,0.0,0.0,69,0.0,0.07,0.0,0.0,0.2796644,0.07,0.065218486,0.2796644,0.0,0.0,0.0,0.0,0.0,0.0,
Algeria,DZA,2002,0.05167677,0.0,0.0,0.0,57,0.0,0.06,0.0,0.0,0.23085803,0.06,0.05167677,0.23085803,0.0,0.0,0.0,0.0,0.0,0.0,
Algeria,DZA,2003,0.228104,0.0,0.0,0.0,265,0.0,0.26,0.0,0.0,0.93491554,0.26,0.228104,0.93491554,0.0,0.0,0.0,0.0,0.0,0.0,
Algeria,DZA,2004,0.2067869,0.0,0.0,0.0,251,0.0,0.25,0.0,0.0,0.8506295,0.25,0.2067869,0.8506295,0.0,0.0,0.0,0.0,0.0,0.0,
Algeria,DZA,2005,0.43411878,0.0,0.0,0.0,0.5553,0.0,0.55,0.0,0.0,1.7235976,0.55,0.43411878,1.7235976,0.0,0.0,0.0,0.0,0.0,0.0,
Algeria,DZA,2006,0.16327195,0.0,0.0,0.0,0.2176,0.0,0.22,0.0,0.0,0.6640507,0.22,0.16327195,0.6640507,0.0,0.0,0.0,0.0,0.0,0.0,
Algeria,DZA,2007,0.15990457,0.0,0.0,0.0,226,0.0,0.22,0.0,0.0,0.6289308,0.22,0.15990457,0.6289308,0.0,0.0,0.0,0.0,0.0,0.0,
Algeria,DZA,2008,0.1877543,0.0,0.0,0.0,283,0.0,0.28,0.0,0.0,0.74015325,0.28,0.1877543,0.74015325,0.0,0.0,0.0,0.0,0.0,0.0,
Algeria,DZA,2009,0.21278548,0.0,0.0,0.0,342,0.0,0.3,0.0,0.0,0.8285005,0.3,0.21278548,0.8285005,0.0,0.0,0.0,0.0,0.0,0.0,
Algeria,DZA,2010,0.11513238,0.0,0.0091,0.0,173,0.0,0.17,0.0,0.0,0.39534885,0.17,0.1093806,0.39534885,0.0,0.0,0.0,0.0,0.0057517756,0.0,
Algeria,DZA,2011,0.2352599,0.0,0.01811875,0.0,378,0.0,0.5,0.0,0.0,1.0379905,0.5,0.22449896,1.0379905,0.0,0.0,0.0,0.0,0.010760946,0.0,
Algeria,DZA,2012,0.22453195,0.0,0.026723014,0.0,389,0.0,0.62,0.0,0.0,1.1483607,0.62,0.21009885,1.1483607,0.0,0.0,0.0,0.0,0.014433099,0.0,
Algeria,DZA,2013,0.064763196,0.0,0.0286,0.0,99,0.0,0.33,0.0,0.0,0.58604157,0.33,0.050247308,0.58604157,0.0,0.0,0.0,0.0,0.014515886,0.0,
Algeria,DZA,2014,0.117502466,0.0,0.06,1,193,0.0,0.25,0.0,0.0,0.41390726,0.25,0.089283474,0.41390726,0.0,0.00046247814,0.0,0.0,0.027756516,0.0,
Algeria,DZA,2015,0.096813366,0.0,58,19,145,0.02,0.14,0.06,0.0,0.34013605,0.14,0.06323396,0.21645021,0.02,0.008285812,0.03092146,0.06,0.025293589,0.09276438,
Algeria,DZA,2016,0.14580712,0.0,245,0.019052055,72,0.03,0.22,0.09,0.0,0.509287,0.22,0.031239543,0.32953864,0.03,0.008266354,0.044937085,0.09,0.106301226,0.13481127,
Algeria,DZA,2017,0.24701829,0.0,504,19,56,0.01,0.06,0.57,0.0,0.8951049,0.06,0.023891231,0.08391608,0.01,0.008105944,0.013986014,0.57,0.21502112,0.7972028,
Algeria,DZA,2018,0.28767928,0.0,603,0.01,117,0.01,0.12,0.65,0.0,1.0816808,0.12,0.046107795,0.16641243,0.01,0.003938928,0.013867702,0.65,0.23763257,0.9014006,
Algeria,DZA,2019,0.29474697,0.0,615,0.01,152,0.01,0.15,0.68,0.0,1.0953188,0.15,0.0576596,0.19559266,0.01,0.0037935944,0.013039509,0.68,0.23329379,0.8866866,
Algeria,DZA,2020,0.29789943,0.0,685,0.0077,0.0496,0.01,0.05,0.66,0.0,0.9898268,0.05,0.01990544,0.068737976,0.01,0.003090129,0.013747594,0.66,0.27490386,0.90734124,
Algeria,DZA,2021,0.26136735,0.0,664,0.0105,0.0093,0.01,0.09,0.81,0.0,1.1735878,0.09,0.0035544697,0.11606912,0.01,0.00401298,0.012896569,0.81,0.2537999,1.0446221,
Argentina,ARG,1965,1.1027236,0.0,0.0,0.0,1.2251163,0.0,1.2251163,0.0,0.0,,1.2251163,1.1027236,,0.0,0.0,,0.0,0.0,,
Argentina,ARG,1966,1.0818976,0.0,0.0,0.0,1.2409302,0.0,1.2409302,0.0,0.0,,1.2409302,1.0818976,,0.0,0.0,,0.0,0.0,,
Argentina,ARG,1967,1.0765653,0.0,0.0,0.0,1.2706977,0.0,1.2706977,0.0,0.0,,1.2706977,1.0765653,,0.0,0.0,,0.0,0.0,,
Argentina,ARG,1968,1.2273394,0.0,0.0,0.0,1.4976745,0.0,1.4976745,0.0,0.0,,1.4976745,1.2273394,,0.0,0.0,,0.0,0.0,,
Argentina,ARG,1969,1.0651699,0.0,0.0,0.0,1.3432558,0.0,1.3432558,0.0,0.0,,1.3432558,1.0651699,,0.0,0.0,,0.0,0.0,,
Argentina,ARG,1970,1.3534116,0.05624185,0.0,0.0,1.5571272,0.0,1.5571272,0.0,0.05624185,,1.5571272,1.3026197,,0.0,0.0,,0.0,0.0,,
Argentina,ARG,1971,1.2703215,0.05899074,0.0,0.0,1.5461483,0.0,1.5461483,0.0,0.05899074,,1.5461483,1.2200689,,0.0,0.0,,0.0,0.0,,
Argentina,ARG,1972,1.2349966,0.07602739,0.0,0.0,1.5026463,0.0,1.5026463,0.0,0.07602739,,1.5026463,1.1710343,,0.0,0.0,,0.0,0.0,,
Argentina,ARG,1973,2.2836952,0.05997025,0.0,0.0,2.9974296,0.0,2.9974296,0.0,0.05997025,,2.9974296,2.2354133,,0.0,0.0,,0.0,0.0,,
Argentina,ARG,1974,3.6298018,0.06100323,0.0,0.0,4.994663,0.0,4.994663,0.0,0.06100323,,4.994663,3.582565,,0.0,0.0,,0.0,0.0,,
Argentina,ARG,1975,3.862203,0.063990325,0.0,0.0,5.1947746,0.0,5.1947746,0.0,0.063990325,,5.1947746,3.811517,,0.0,0.0,,0.0,0.0,,
Argentina,ARG,1976,3.5544236,0.060962547,0.0,0.0,5.014902,0.0,5.014902,0.0,0.060962547,,5.014902,3.5083818,,0.0,0.0,,0.0,0.0,,
Argentina,ARG,1977,3.9092395,0.064003065,0.0,0.0,5.7667804,0.0,5.7667804,0.0,0.064003065,,5.7667804,3.8629558,,0.0,0.0,,0.0,0.0,,
Argentina,ARG,1978,5.2276783,0.06397281,0.0,0.0,7.7466183,0.0,7.7466183,0.0,0.06397281,,7.7466183,5.181485,,0.0,0.0,,0.0,0.0,,
Argentina,ARG,1979,6.7023063,0.09498376,0.0,0.0,10.656913,0.0,10.656913,0.0,0.09498376,,10.656913,6.6384325,,0.0,0.0,,0.0,0.0,,
Argentina,ARG,1980,9.552859,0.09901763,0.0,0.0,15.140881,0.0,15.140881,0.0,0.09901763,,15.140881,9.48589,,0.0,0.0,,0.0,0.0,,
Argentina,ARG,1981,9.541531,0.08701801,0.0,0.0,14.684794,0.0,14.684794,0.0,0.08701801,,14.684794,9.480881,,0.0,0.0,,0.0,0.0,,
Argentina,ARG,1982,11.229479,0.1149734,0.0,0.0,17.592196,0.0,17.592196,0.0,0.1149734,,17.592196,11.150805,,0.0,0.0,,0.0,0.0,,
Argentina,ARG,1983,11.303474,0.15497561,0.0,0.0,18.41851,0.0,18.41851,0.0,0.15497561,,18.41851,11.201724,,0.0,0.0,,0.0,0.0,,
Argentina,ARG,1984,12.132671,0.11498845,0.0,0.0,19.877867,0.0,19.877867,0.0,0.11498845,,19.877867,12.057375,,0.0,0.0,,0.0,0.0,,
Argentina,ARG,1985,12.759556,0.12000641,0.0,0.0,20.653124,0.0,20.653124,0.0,0.12000641,45.853027,20.653124,12.680017,45.58814,0.0,0.0,0.0,0.0,0.0,0.0,
